# 由21键曲谱播放器从 【Animenz】Butter-Fly（完整版）- 数码宝贝 OP.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
qsgxb 0.4375
z 0.1875
q 0.125
qsxb 0.3125
hz 0.375
gb 0.125
x 0.1875
z 0.375
afhzv 0.375
z 0.1875
v 0.125
z 0.3125
qafgvb 0.6875
z 0.375
v 0.3125
z 0.4375
qsgz 0.625
qsgzxb 0.375
qz 0.1875
q 0.125
qxb 0.3125
hz 0.25
gb 0.25
x 0.125
z 0.375
ryuzv 0.5625
zv 0.5
rtuzv 0.625
zv 0.4375
qrtuz 0.75
z 0.3125
fgvb 0.3125
a 0.125
s 0.125
f 0.125
q 0.1875
w 0.125
tafg 0.1875
r 0.1875
q 0.25
r 0.1875
u 0.1875
qu 0.125
u 0.125
rtu 1.1875
z 0.125
z 0.125
z 1.1875
azb 0.6875
sz 0.375
asx 0.3125
z 0.375
sx 0.375
z 0.3125
a 0.3125
afzb 0.75
asz 0.3125
x 0.375
z 0.3125
b 0.3125
x 0.3125
z 0.375
azx 0.6875
sz 0.375
sx 0.375
z 0.3125
sx 0.375
z 0.3125
ax 0.3125
afz 0.6875
sgz 0.3125
x 0.375
z 0.3125
b 0.375
ax 0.3125
n 0.375
a 0.375
zn 0.375
b 0.375
z 0.3125
zv 0.75
zb 0.3125
zb 0.375
bm 0.375
zc 0.3125
n 0.375
b 0.375
an 0.375
zv 0.3125
m 0.3125
zxn 0.375
b 0.375
zb 0.6875
z 0.3125
z 0.375
zb 0.3125
zm 0.3125
z 0.375
z 0.6875
z 0.3125
z 0.375
z 0.3125
z 0.375
z 0.3125
z 0.375
qas 0.3125
z 0.375
qwsg 0.375
qwsg 0.6875
qwsg 0.6875
qg 0.375
qrg 0.6875
qwagb 0.3125
a 0.3125
b 0.25
a 0.125
a 0.1875
b 0.1875
x 0.1875
z 0.4375
qsgz 0.6875
wsgz 0.375
wsgbn 0.375
z 0.3125
ws 0.3125
z 0.375
qbn 0.375
qrgz 0.6875
qwtn 0.3125
a 0.3125
z 0.3125
sb 0.375
q 0.3125
hz 0.3125
q 0.375
fhz 0.3125
g 0.375
z 0.375
vb 0.6875
gzv 0.375
gzvb 0.375
dgj 0.375
zc 0.375
h 0.3125
gz 0.375
qfhzv 0.625
jzv 0.375
hzv 0.375
g 0.375
gzb 0.375
z 0.3125
z 0.375
z 0.375
z 0.3125
zm 0.3125
z 0.375
z 0.6875
z 0.3125
z 0.375
z 0.3125
z 0.3125
gzb 0.3125
gz 0.3125
gb 0.375
qtg 0.75
qtgzv 0.3125
zv 0.375
rasg 0.125
zb 0.1875
wv 0.375
z 0.375
qsgz 0.625
z 0.375
b 0.375
szn 0.75
qz 0.375
qsbn 0.3125
q 0.3125
fhz 0.375
fgb 0.375
gvb 0.375
gz 0.3125
gzvb 0.3125
hz 0.375
qz 0.375
qsgz 0.75
qz 0.375
xn 0.375
axb 0.6875
asgzxb 0.375
gzb 0.3125
gzb 0.375
qtg 0.75
qtgzv 0.375
zv 0.3125
rasg 0.1875
b 0.125
wv 0.3125
z 0.375
qsgz 0.6875
z 0.375
b 0.375
sn 0.6875
z 0.375
qbn 0.75
qfgz 0.375
q 0.3125
qz 0.375
wghzx 0.6875
qz 0.375
wzx 0.375
egj 0.375
zc 0.375
w 0.3125
ez 0.375
rfhzv 0.75
z 0.3125
zv 0.6875
wsgzx 0.6875
sbn 0.1875
g 0.125
hx 0.125
q 0.25
wbn 0.125
t 0.125
y 0.125
ux 0.1875
u 0.125
ubn 0.1875
u 0.125
u 0.125
u 0.375
